M,type,N1,N2,N3
827,TRIA,502,521,522
828,TRIA,503,523,514
829,TRIA,503,514,501
830,TRIA,524,516,512
831,TRIA,524,512,513
832,TRIA,525,526,506
833,TRIA,525,506,507
834,TRIA,504,506,526
835,TRIA,527,504,526
836,TRIA,488,525,507
837,TRIA,525,488,515
838,TRIA,509,504,527
839,TRIA,528,509,527
840,TRIA,528,510,509
841,TRIA,510,528,529
842,TRIA,510,529,513
843,TRIA,525,515,530
844,TRIA,525,530,531
845,TRIA,514,532,530
846,TRIA,514,530,515
847,TRIA,523,533,514
848,TRIA,533,532,514
849,TRIA,534,535,533
850,TRIA,534,533,523
851,TRIA,517,516,524
852,TRIA,517,524,536
853,TRIA,537,518,517
854,TRIA,537,517,536
855,TRIA,519,518,537
856,TRIA,519,537,538
857,TRIA,539,520,519
858,TRIA,539,519,538
859,TRIA,521,520,539
860,TRIA,521,539,522
861,TRIA,522,534,523
862,TRIA,522,523,503
863,TRIA,540,535,534
864,TRIA,540,534,541
865,TRIA,513,529,542
866,TRIA,513,542,524
867,TRIA,11,543,544
868,TRIA,11,544,12
869,TRIA,544,543,545
870,TRIA,544,545,546
871,TRIA,546,545,547
872,TRIA,546,547,548
873,TRIA,531,548,526
874,TRIA,531,526,525
875,TRIA,548,547,549
876,TRIA,548,549,526
877,TRIA,549,550,526
878,TRIA,550,527,526
879,TRIA,550,551,528
880,TRIA,550,528,527
881,TRIA,528,551,529
882,TRIA,551,552,529
883,TRIA,529,552,542
884,TRIA,552,553,542
885,TRIA,553,554,555
886,TRIA,553,555,542
887,TRIA,548,556,544
888,TRIA,546,548,544
889,TRIA,15,12,544
890,TRIA,556,15,544
891,TRIA,533,535,556
892,TRIA,530,532,556
893,TRIA,530,556,548
894,TRIA,533,556,532
895,TRIA,556,535,540
896,TRIA,531,530,548
897,TRIA,557,556,540
898,TRIA,557,540,541
899,TRIA,542,536,524
900,TRIA,539,541,534
901,TRIA,522,539,534
902,TRIA,555,541,538
903,TRIA,537,555,538
904,TRIA,541,539,538
905,TRIA,536,555,537
906,TRIA,542,555,536
907,TRIA,549,547,550
908,TRIA,550,547,558
909,TRIA,552,551,558
910,TRIA,552,558,553
911,TRIA,550,558,551
912,TRIA,543,558,547
913,TRIA,545,543,547
914,TRIA,543,11,191
915,TRIA,558,543,191
916,TRIA,554,553,558
917,TRIA,554,558,559
918,TRIA,554,559,555
919,TRIA,15,556,557
920,TRIA,15,557,17
921,TRIA,541,555,559
922,TRIA,541,559,557
923,TRIA,190,559,558
924,TRIA,190,558,191
925,TRIA,217,560,561
926,TRIA,217,561,562
927,TRIA,217,23,560
928,TRIA,563,218,17
929,TRIA,557,563,17
930,TRIA,562,190,217
931,TRIA,562,559,190
932,TRIA,557,564,563
933,TRIA,565,559,562
934,TRIA,565,564,557
935,TRIA,565,557,559
936,TRIA,562,561,566
937,TRIA,562,566,565
938,TRIA,564,567,568
939,TRIA,564,568,563
940,TRIA,569,218,563
941,TRIA,568,569,563
942,TRIA,569,18,218
943,TRIA,25,18,570
944,TRIA,18,569,570
945,TRIA,21,571,23
946,TRIA,571,560,23
947,TRIA,566,561,571
948,TRIA,561,560,571
949,TRIA,564,565,567
950,TRIA,565,566,567
951,TRIA,570,569,568
952,TRIA,570,568,567
953,TRIA,25,571,21
954,TRIA,25,570,571
955,TRIA,571,570,567
956,TRIA,571,567,566
957,TRIA,572,573,574
958,TRIA,573,575,574
959,TRIA,576,577,578
960,TRIA,576,578,579
961,TRIA,580,573,572
962,TRIA,580,572,581
963,TRIA,580,581,582
964,TRIA,583,584,580
965,TRIA,584,573,580
966,TRIA,585,575,573
967,TRIA,584,586,585
968,TRIA,584,583,586
969,TRIA,584,585,573
970,TRIA,575,585,587
971,TRIA,585,586,587
972,TRIA,588,577,576
973,TRIA,588,576,589
974,TRIA,575,587,574
975,TRIA,574,587,579
976,TRIA,579,587,576
977,TRIA,590,588,589
978,TRIA,590,589,591
979,TRIA,592,593,594
980,TRIA,592,594,595
981,TRIA,581,596,597
982,TRIA,581,597,582
983,TRIA,582,597,592
984,TRIA,582,592,595
985,TRIA,598,581,572
986,TRIA,596,581,598
987,TRIA,599,596,598
988,TRIA,600,599,598
989,TRIA,600,598,601
990,TRIA,601,598,572
991,TRIA,601,572,574
992,TRIA,578,601,579
993,TRIA,601,574,579
994,TRIA,600,601,578
995,TRIA,577,602,603
996,TRIA,578,577,603
997,TRIA,588,602,577
998,TRIA,580,594,604
999,TRIA,580,604,605
1000,TRIA,595,594,580
1001,TRIA,582,595,580
1002,TRIA,605,583,580
1003,TRIA,605,606,583
1004,TRIA,606,607,586
1005,TRIA,606,586,583
1006,TRIA,607,587,586
1007,TRIA,607,608,587
1008,TRIA,587,589,576
1009,TRIA,609,591,587
1010,TRIA,609,587,608
1011,TRIA,591,589,587
1012,TRIA,609,610,591
1013,TRIA,610,590,591
1014,TRIA,590,611,602
1015,TRIA,590,602,588
1016,TRIA,594,593,612
1017,TRIA,594,612,604
1018,TRIA,592,613,614
1019,TRIA,592,614,593
1020,TRIA,597,596,615
1021,TRIA,613,597,615
1022,TRIA,597,613,592
1023,TRIA,596,599,616
1024,TRIA,615,596,616
1025,TRIA,599,617,616
1026,TRIA,617,599,600
1027,TRIA,578,617,600
1028,TRIA,617,578,603
1029,TRIA,618,619,611
1030,TRIA,619,620,611
1031,TRIA,620,621,602
1032,TRIA,620,602,611
1033,TRIA,602,621,603
1034,TRIA,621,622,603
1035,TRIA,617,603,622
1036,TRIA,617,622,623
1037,TRIA,612,624,605
1038,TRIA,612,605,604
1039,TRIA,605,624,625
1040,TRIA,605,625,606
1041,TRIA,625,626,607
1042,TRIA,625,607,606
1043,TRIA,607,626,627
1044,TRIA,607,627,608
1045,TRIA,608,627,609
1046,TRIA,627,610,609
1047,TRIA,610,618,611
1048,TRIA,610,611,590
1049,TRIA,628,619,618
1050,TRIA,628,618,629
1051,TRIA,593,614,630
1052,TRIA,593,630,612
1053,TRIA,614,631,632
1054,TRIA,614,632,630
1055,TRIA,633,631,614
1056,TRIA,633,614,613
1057,TRIA,615,634,633
1058,TRIA,615,633,613
1059,TRIA,635,634,616
1060,TRIA,634,615,616
1061,TRIA,623,636,616
1062,TRIA,623,616,617
1063,TRIA,635,616,636
1064,TRIA,635,636,637
1065,TRIA,637,636,638
